article_id,title,paragraph,model_name,answer_1,answer_2,answer_3,comments,question_1,question_2,question_3,non_answer,correct_answer_1,correct_answer_2,correct_answer_3,correct_count,is_correct_answer_1,is_correct_answer_2,is_correct_answer_3,non_answer_1,non_answer_2,non_answer_3,all_options_1,all_options_2,all_options_3,para_id,Model
26,Wealth Therapy for the Rich,Clay Cockrell is sitting in his office at Columbus Circle. Clay Cockcle rell sits across the street from 1 Central Park West which houses Trump International Hotel and Tower. In front of the tower is Central Park. Cockrell holds his popular walk and talk therapy sessions. Cockrell used to be a Wall Street worker. He turned therapy. He spends large parts of his days walking through Central Park or the Battery Park near Wall Street. He helped trust New York’s wealthiest people.,control-editnar-grade5,In his office opposite the Trump International Hotel and Tower,Wall Street worker,Trump International Hotel and Tower,"
",Where does Clay Cockrell hold his popular therapy sessions?,What was Cockrell’s occupation before taking on his current job?,What is opposite Cockrell’s office?,0,At a park near the Trump International Hotel and Tower,Wall Street worker,Trump International Hotel and Tower,2,False,True,True,False,False,False,"['At a park near the Trump International Hotel and Tower', 'In his office opposite the Trump International Hotel and Tower', 'On Wall Street', 'At a golf course']","['Wall Street worker', 'Therapist', 'Manager at the Trump International Hotel and Tower', 'Real estate agent']","['Trump International Hotel and Tower', 'Central Park', 'Wall Street offices', 'Cockrell’s apartment complex']",1,EditCL-Grade5
5,Bright Future for Astrotourism,"On Black Fell, looking down on Northumberland's Kielder Water reservoir, a group of people wait in a car park next to a strange wooden building. It looks like it was built in the future. This is Kielder Observatory. It is the center of Britains astrotourism industry. And those who were outside were the lucky ones. Many more had applied for a night of stargazing at the observatory, but there are only a few. Inside, next to a woodburner and under dimmed lights, the astronomer who started the observatory, Gary Fildes, is a former bricklayer with Tarzan hair. He gives a talk to his colleagues. The team talks about the idea of seeing the northern lights, but Fildes is not sure. Instead, they decide to use their big telescopes to see Jupiter and Venus. Later they will see stars such as Capella and Betelgeuse. Another thing to see is the appearance of the International Space Station.",t5_base_wiki_output_turk,A car park,People who applied for a night of stargazing at the Kielder Observatory,Observe Jupiter and Venus,"
",What is located next to the Kielder Observatory?,Who mentions that it might be possible to see the northern lights?,What does Fildes’ team decide to do?,0,A car park,Members of a team of astronomers at Kielder Observatory,Observe Jupiter and Venus,2,True,False,True,False,False,False,"['A car park', 'A wooden building', 'Capella and Betelgeuse', 'A research center']","['Members of a team of astronomers at Kielder Observatory', 'The head astronomer of the Kielder Observatory, Gary Fields', 'People who applied for a night of stargazing at the Kielder Observatory', ""Tourists in Norway's National Observatory in Oslo""]","['Observe Jupiter and Venus', 'Observe the northern lights', 'Wait for more visitors to arrive from the car park', 'Observe the moon']",1,ControlT5-Wiki
15,Man Falls Just Short in Patriot Game to be 100% French,"Benjamin Carle is made in France. This is right down to his underpants and socks. However, six Ikea forks, a Chinese guitar and wall paint did not stop him being said to be a '' 100% economic patriot ''. Carle, 26, set out in 2013 to see if it was possible to live using only French made things for ten months, as part of a TV show. The idea came about when Arnaud Montebourg, the Minister for Economic Renewal, asked the public to buy French to save the country's manufacturing sector. The experiment cost Carle his smartphone, television, refrigerator (all made in China ), his spectacles ( Italian ), his morning coffee ( Guatemalan ) and his love for David Bowie music ( British ). His girlfriend, Anas, and his cat, Loon, ( both French ) helped him a lot.",t5_base_wiki_output_turk,They are not made in France,Trying not to use products manufactured outside of France,He asked people to buy products made in France,"
",What is true of Carle’s Ikea forks?,What was the main premise of Carle’s television documentary?,What did Arnaud Montebourgh do?,0,They are not made in France,Trying not to use products manufactured outside of France,He asked people to buy products made in France,3,True,True,True,False,False,False,"['They are not made in France', 'They are 96.9% made in France', 'They were bought by his girlfriend', 'They were on sale when he bought them']","['Trying not to use products manufactured outside of France', 'Trying to convince French people to buy French products', 'Living without essential products like smartphone, glasses and coffee', 'Studying what products French people consume']","['He asked people to buy products made in France', 'He participated in Benjamin Carle’s television documentary', 'He replaced his smartphone and television', 'He participated in a television debate']",1,ControlT5-Wiki
19,Philip Pullman Illegal Downloading Is Moral Squalor,"Illegal downloading is a kind of ""moral squalor"" and theft, and taking someone's wallet and reaching into their pocket is theft, says author Philip Pullman. In an article for the Index on Censorship, Pullman, the Society of Authors president, takes a strong position on copyright. He especially deals with Internet users who download music or books without paying for them.",muss_bart_unsup_out,The “Society of Authors”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,"
",Where does Philip Pullman hold a senior position?,What does Pullman think about pirating?,Who does Pullman criticize?,0,The “Society of Authors”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,3,True,True,True,False,False,False,"['The “Society of Authors”', 'The “Index on Censorship”', 'The “Association Against Illegal Downloading”', 'The “Arts Union”']","['He disapproves of people who are OK with pirating', 'He thinks it is only OK to download music or books without paying for them if it is done infrequently', 'He believes it is a robust defense against copyright laws', 'He thinks it depends on the user’s financial situation']","['People who think it’s alright to download books without paying for them', 'People who post music or books online to places where other people can access them without paying', 'People who don’t defend copyright laws', 'Websites that support illegal downloading']",1,MUSS-Unsup
8,Google Introduces its Driverless Car,"They iling a car with a top speed of 25mph. It has two seats and no pedals or steering wheel might not seem like a motor show. Google is in the United States. Google sent a small earthquake through the car and taxi companies. It is the latest model of its driverless car. The new car is electrically powered car. Google has begun testing around its headquarters in Mountain View, California. It has no cars with all the normal controls. These include foot pedals. Instead, people use a smartphone app, and a single stop button mounted between the two front-facing seats need to take over.",control-editnar-grade5,The question or the answer options are not supported by the passage.,It tells the car where the user wants to go,It has fewer controls compared to a typical car,"
",What kind of reaction did Google’s new driverless car draw from the automobile industry?,How does the car passenger’s phone interact with the car?,What is unique about the controls of the car that Google just released?,1,It drew strong attention from the industry,It tells the car where the user wants to go,It has fewer controls compared to a typical car,2,False,True,True,True,False,False,"['It drew strong attention from the industry', 'The industry wasn’t impressed and did not find it interesting at first, but was shocked later', 'It drew mostly excitement, but also disappointment at its lack of controls', 'It drew considerable skepticism from safety experts']","['It tells the car where the user wants to go', 'It has an app with normal car controls in case of an emergency', 'It keeps track of the car’s speed so that it does not exceed 25 miles per hour', 'It processes the sensory information from the car and guides the car']","['It has fewer controls compared to a typical car', 'It has special foot pedals', 'It can quickly accelerate to a speed of 25 miles per hour', 'It has more reliable controls as compared to conventional cars']",1,EditCL-Grade5
16,Morocco Poised to Become a Solar Superpower,"The Moroccan city of Ouarzazate is used to big productions. It is on the edge of the Sahara Desert and at the center of Morocco’s “Ouallywood” film industry. Now, the trading city is the location for a complex of four linked solar mega-plants, which, alongside hydro and wind, will help provide nearly half of Morocco’s electricity from renewables by 2020 with, it is hoped, some spare to export to Europe. The project is a key plank in Morocco’s ambitions to use its deserts to become a global solar superpower. When the full complex is complete, it will be the largest concentrated solar power plant in the world and the first phase, called Noor 1, will go live in November 2015. The mirror technology it uses is less widespread and more expensive than the photovoltaic panels that are now familiar on roofs the world over but it will have the advantage of being able to continue producing power even after the sun goes down.",Adv,"wind, hydro and solar energy",Mirror technology can generate energy at night,They will be used alongside solar energy,"
",Where will almost half of Morocco’s electricity will come from by 2020?,How does the mirror technology used in the power plant differ from familiar roof panels?,What is true of wind and hydro energy sources in Morocco?,0,"wind, hydro and solar energy",Mirror technology can generate energy at night,They will be used alongside solar energy,3,True,True,True,False,False,False,"['wind, hydro and solar energy', 'solar energy', 'Noor 1', 'neighboring countries']","['Mirror technology can generate energy at night', 'Mirror technology is not as expensive', 'Mirror technology is cleaner than hydro and wind power', 'Mirror technology is easier to install than roof panels']","['They will be used alongside solar energy', 'They will provide half of Morocco’s energy by 2020', 'They will be cheaper than using standard roof panels', 'They will replace oil-based energy sources']",1,Original
19,Philip Pullman Illegal Downloading Is Moral Squalor,"Illegal downloading is a kind of “moral squalor” and theft. It is as much as reaching in to someone’s pocket and stealing their wallet is theft, says Philip Pullman. Pullman is president of the Society of Foundation. It makes a strong defence of copyright laws. He is very critical of Internet users. He thinks it is OK to download music or books without paying for them.",control-sup-grade5,The question or the answer options are not supported by the passage.,He thinks it is only OK to download music or books without paying for them if it is done infrequently,The question or the answer options are not supported by the passage.,"article seems contradictory - saying illegal downloading is theft, but then it is ok to download music or books without paying.
",Where does Philip Pullman hold a senior position?,What does Pullman think about pirating?,Who does Pullman criticize?,2,The “Society of Authors”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,0,False,False,False,True,False,True,"['The “Society of Authors”', 'The “Index on Censorship”', 'The “Association Against Illegal Downloading”', 'The “Arts Union”']","['He disapproves of people who are OK with pirating', 'He thinks it is only OK to download music or books without paying for them if it is done infrequently', 'He believes it is a robust defense against copyright laws', 'He thinks it depends on the user’s financial situation']","['People who think it’s alright to download books without paying for them', 'People who post music or books online to places where other people can access them without paying', 'People who don’t defend copyright laws', 'Websites that support illegal downloading']",1,ControlSup-Grade5
21,Spain's Robin Hood,"They call him the Robin Hood of the banks. He was a man who took out a lot of loans, worth almost half a million euros, and did not want to pay them back. Instead, Enric Duran gave the money to a number of projects that created and made alternatives to capitalism. After 14 months in hiding, Duran is not sorry, even though his actions could put him in jail. He said, '' I’m proud of what I did, '' in an interview by Skype.",t5_base_wiki_output_turk,The question or the answer options are not supported by the passage.,He was proud of it,He supported them financially,"
",What did Enric Duran do with the money he took from the banks?,How did Enric feel about taking money from banks?,What was Duran’s relationship to anti-capitalist projects?,1,He gave the money to projects that were anti-capitalist,He was proud of it,He supported them financially,2,False,True,True,True,False,False,"['He gave the money to projects that were anti-capitalist', 'He gave the money to projects that supported alternatives to socialism', 'He hid the money for 14 months', 'He gave the money to charities and humanitarian projects']","['He was proud of it', 'He refused to comment in his Skype interview', 'He was sorry he wasn’t able to take more money', 'He denied that he has ever taken money from banks']","['He supported them financially', 'He managed them', 'He had ties with them that were cut after 14 months', 'He was opposed to them']",1,ControlT5-Wiki
9,Hundreds Hurt after Meteorite Falls to Earth,"Galina Zaglumyonova was awakened by a loud explosion that shattered the windows of her apartment balcony and broke the clay pots containing her houseplants. She lived in the central Chelyabinsk area. When she got out of bed, she noticed a large vapor trail in the sky and could hear car alarms from the street below. She said, ""I didn't know what was happening. There was a big explosion and then several smaller ones. My first thought was that a plane had crashed."" What actually happened was that a ten-ton meteorite had fallen to the ground in a series of fireballs just after sunrise. According to officials, nearly 1,200 people were injured, with over 40 taken to the hospital - mostly due to flying glass that shattered because of the sonic boom produced by the meteorite's fall. No fatalities were reported.",chatgpt_out,Pots were damaged,They were hurt in the meteorite incident,Over 40 people,"
",What happened in Galina's apartment because of the explosion?,"What happened to almost 1,200 people?",Who arrived at the hospital?,0,Pots were damaged,They were hurt in the meteorite incident,Over 40 people,3,True,True,True,False,False,False,"['Pots were damaged', 'The balcony collapsed', 'The apartment filled up with vapor', 'A chandelier fell off the ceiling']","['They were hurt in the meteorite incident', 'They were brought to the hospital', 'They were in a plane crash', 'They lost their homes']","['Over 40 people', 'Almost 1,200 people', 'Several survivors of a plane crash', 'Several survivors of a hurricane']",1,ChatGPT
8,Google Introduces its Driverless Car,"Unveiling a car with a top speed of 25mph, two seats and no pedals or steering wheel might not make much of an impression at a motor show. But Google, in the US, sent a minor earthquake through the car and taxi industries as it unveiled the latest version of its driverless car. The electrically powered vehicle, which Google has begun testing around its headquarters in Mountain View, California, dispenses with all the normal controls, including foot pedals. Instead, it has a smartphone app that summons it and tells it the destination, and a single STOP button mounted between the two front-facing seats in case the occupants need to override the computer.",Adv,The question or the answer options are not supported by the passage.,It tells the car where the user wants to go,It has fewer controls compared to a typical car,"
",What kind of reaction did Google’s new driverless car draw from the automobile industry?,How does the car passenger’s phone interact with the car?,What is unique about the controls of the car that Google just released?,1,It drew strong attention from the industry,It tells the car where the user wants to go,It has fewer controls compared to a typical car,2,False,True,True,True,False,False,"['It drew strong attention from the industry', 'The industry wasn’t impressed and did not find it interesting at first, but was shocked later', 'It drew mostly excitement, but also disappointment at its lack of controls', 'It drew considerable skepticism from safety experts']","['It tells the car where the user wants to go', 'It has an app with normal car controls in case of an emergency', 'It keeps track of the car’s speed so that it does not exceed 25 miles per hour', 'It processes the sensory information from the car and guides the car']","['It has fewer controls compared to a typical car', 'It has special foot pedals', 'It can quickly accelerate to a speed of 25 miles per hour', 'It has more reliable controls as compared to conventional cars']",1,Original
